in s,C1 in V
-2.9922509E+00,-3.66211E-03
-2.9922048E+00,2.44141E-04
-2.9921587E+00,-5.61523E-03
-2.9921126E+00,-3.66211E-03
-2.9920666E+00,-6.59180E-03
-2.9920205E+00,-6.10352E-03
-2.9919744E+00,-5.61523E-03
-2.9919283E+00,-6.10352E-03
-2.9918822E+00,-4.63867E-03
-2.9918362E+00,-3.66211E-03
-2.9917901E+00,-4.63867E-03
-2.9917440E+00,-3.66211E-03
-2.9916979E+00,-4.63867E-03
-2.9916518E+00,-4.63867E-03
-2.9916058E+00,-4.15039E-03
-2.9915597E+00,-5.61523E-03
-2.9915136E+00,-6.10352E-03
-2.9914675E+00,-5.12695E-03
-2.9914214E+00,-8.54492E-03
-2.9913754E+00,-5.61523E-03
-2.9913293E+00,-4.15039E-03
-2.9912832E+00,-5.12695E-03
-2.9912371E+00,-4.15039E-03
-2.9911910E+00,-4.15039E-03
-2.9911450E+00,-6.10352E-03
-2.9910989E+00,-5.61523E-03
-2.9910528E+00,-7.08008E-03
-2.9910067E+00,-5.12695E-03
-2.9909606E+00,-9.03320E-03
-2.9909146E+00,-5.12695E-03
-2.9908685E+00,-3.66211E-03
-2.9908224E+00,-4.63867E-03
-2.9907763E+00,-6.10352E-03
-2.9907302E+00,-5.12695E-03
-2.9906842E+00,-6.59180E-03
-2.9906381E+00,-6.10352E-03
-2.9905920E+00,-5.12695E-03
-2.9905459E+00,-6.59180E-03
-2.9904998E+00,-7.08008E-03
-2.9904538E+00,-4.63867E-03
-2.9904077E+00,-1.19629E-02
-2.9903616E+00,-5.12695E-03
-2.9903155E+00,-5.61523E-03
-2.9902694E+00,-5.12695E-03
-2.9902234E+00,-5.12695E-03
-2.9901773E+00,-4.15039E-03
-2.9901312E+00,-4.63867E-03
-2.9900851E+00,-4.63867E-03
-2.9900390E+00,-6.10352E-03
-2.9899930E+00,-3.66211E-03
-2.9899469E+00,-4.63867E-03
-2.9899008E+00,-5.12695E-03
-2.9898547E+00,-3.66211E-03
-2.9898086E+00,-5.61523E-03
-2.9897626E+00,-9.03320E-03
-2.9897165E+00,-5.61523E-03
-2.9896704E+00,-3.66211E-03
-2.9896243E+00,-5.12695E-03
-2.9895782E+00,-5.12695E-03
-2.9895322E+00,-3.66211E-03
-2.9894861E+00,-5.61523E-03
-2.9894400E+00,-5.12695E-03
-2.9893939E+00,-7.08008E-03
-2.9893478E+00,-5.12695E-03
-2.9893018E+00,-6.10352E-03
-2.9892557E+00,-3.17383E-03
-2.9892096E+00,-3.17383E-03
-2.9891635E+00,-5.12695E-03
-2.9891174E+00,-3.66211E-03
-2.9890714E+00,-8.05664E-03
-2.9890253E+00,-4.15039E-03
-2.9889792E+00,-5.12695E-03
-2.9889331E+00,-6.10352E-03
-2.9888870E+00,-6.59180E-03
-2.9888410E+00,-5.61523E-03
